Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21492-14563,C,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,9.324999809,4,4900,CAR@EDM,EDM,CAR,,
21492-21927,W,Chris,Chris Kreider,Kreider,8.883333206,6,4900,PIT@NYR,NYR,PIT,,
21492-41390,C,Elias,Elias Lindholm,Lindholm,8.53333346,3,4900,CAR@EDM,CAR,EDM,,
21492-41394,D,Seth,Seth Jones,Jones,14.23999939,5,4900,CLS@WPG,CLS,WPG,,
21492-42478,C,Bo,Bo Horvat,Horvat,11.72500038,4,4900,VAN@OTT,VAN,OTT,,
21492-70375,D,Nikita,Nikita Zaitsev,Zaitsev,16,5,4900,TOR@WAS,TOR,WAS,,
21492-15308,C,Sean,Sean Couturier,Couturier,17.11999969,5,4900,FLA@PHI,PHI,FLA,,
21492-15360,W,J.T.,J.T. Miller,Miller,8.666666667,6,4800,PIT@NYR,NYR,PIT,,
21492-12411,D,Ryan,Ryan McDonagh,McDonagh,5.866666794,6,4800,PIT@NYR,NYR,PIT,,
21492-8322,W,Loui,Loui Eriksson,Eriksson,3.200000048,4,4800,VAN@OTT,VAN,OTT,DTD,Knee
21492-70905,W,Clayton,Clayton Keller,Keller,15.61999969,5,4800,ARI@DAL,ARI,DAL,,
21492-21523,W,Alex,Alex Killorn,Killorn,15.5,5,4700,TB@DET,TB,DET,,
21492-39245,D,Jacob,Jacob Trouba,Trouba,11.2,5,4700,CLS@WPG,WPG,CLS,,
21492-58877,W,Conor,Conor Sheary,Sheary,11.15000025,6,4700,PIT@NYR,PIT,NYR,,
21492-58990,C,Kevin,Kevin Hayes,Hayes,6.53333346,6,4700,PIT@NYR,NYR,PIT,,
21492-11284,C,Cody,Cody Eakin,Eakin,7.599999905,4,4600,BUF@VGK,VGK,BUF,,
21492-8497,C,Frans,Frans Nielsen,Nielsen,8.959999847,5,4600,TB@DET,DET,TB,,
21492-8709,D,Alexander,Alexander Edler,Edler,6.400000254,3,4600,VAN@OTT,VAN,OTT,O,Lower body
21492-8875,W,Evgenii,Evgenii Dadonov,Dadonov,16.04999924,4,4600,FLA@PHI,FLA,PHI,,
21492-15287,C,Jean-Gabriel,Jean-Gabriel Pageau,Pageau,8,5,4600,VAN@OTT,OTT,VAN,,
21492-8198,W,Thomas,Thomas Vanek,Vanek,8.324999809,4,4500,VAN@OTT,VAN,OTT,,
21492-9305,W,Mathieu,Mathieu Perreault,Perreault,9.540000153,5,4500,CLS@WPG,WPG,CLS,DTD,Lower body
21492-43178,C,Teuvo,Teuvo Teravainen,Teravainen,5.333333333,3,4500,CAR@EDM,CAR,EDM,,
21492-42862,D,Olli,Olli Maatta,Maatta,14.56666692,6,4500,PIT@NYR,PIT,NYR,,
21492-15251,C,Boone,Boone Jenner,Jenner,9.928048483,82,4500,CLS@WPG,CLS,WPG,IR,Back
21492-80992,C,Nolan,Nolan Patrick,Patrick,7.2,5,4400,FLA@PHI,PHI,FLA,,
21492-40036,C,Tomas,Tomas Hertl,Hertl,8.324999809,4,4400,MON@SJ,SJ,MON,,
21492-21689,W,Reilly,Reilly Smith,Smith,6.925000191,4,4400,BUF@VGK,VGK,BUF,,
21492-8575,C,Martin,Martin Hanzal,Hanzal,6.559999847,5,4400,ARI@DAL,DAL,ARI,,
21492-12952,D,Jake,Jake Gardiner,Gardiner,9.219999695,5,4400,TOR@WAS,TOR,WAS,,
21492-79857,W,Brock,Brock Boeser,Boeser,15.85000038,2,4400,VAN@OTT,VAN,OTT,,
21492-8348,D,Niklas,Niklas Kronwall,Kronwall,3.200000048,2,4300,TB@DET,DET,TB,,
21492-8403,W,Justin,Justin Williams,Williams,9.933333079,3,4300,CAR@EDM,CAR,EDM,,
21492-54575,D,Esa,Esa Lindell,Lindell,10.08000031,5,4300,ARI@DAL,DAL,ARI,,
21492-58985,W,Jakub,Jakub Vrana,Vrana,11.73333359,6,4300,TOR@WAS,WAS,TOR,,
21492-62294,D,Brady,Brady Skjei,Skjei,8.933333079,6,4300,PIT@NYR,NYR,PIT,,
21492-15247,C,Victor,Victor Rask,Rask,8.96666654,3,4300,CAR@EDM,CAR,EDM,,
21492-66511,D,Ivan,Ivan Provorov,Provorov,13.91999969,5,4300,FLA@PHI,PHI,FLA,,
21492-37881,D,Morgan,Morgan Rielly,Rielly,11.18000031,5,4300,TOR@WAS,TOR,WAS,,
21492-8211,D,Tyler,Tyler Myers,Myers,6.320000076,5,4200,CLS@WPG,WPG,CLS,,
21492-8241,W,Jussi,Jussi Jokinen,Jokinen,6.400000095,4,4200,CAR@EDM,EDM,CAR,,
21492-55375,W,Sam,Sam Reinhart,Reinhart,2.239999962,5,4200,BUF@VGK,BUF,VGK,,
21492-66680,D,Jaccob,Jaccob Slavin,Slavin,6.400000254,3,4200,CAR@EDM,CAR,EDM,,
21492-8515,C,Brandon,Brandon Dubinsky,Dubinsky,4.159999847,5,4200,CLS@WPG,CLS,WPG,,
21492-39249,C,Nick,Nick Bjugstad,Bjugstad,14.39999962,4,4200,FLA@PHI,FLA,PHI,,
21492-8683,W,Lee,Lee Stempniak,Stempniak,7.587805027,82,4200,CAR@EDM,CAR,EDM,IR,Back
21492-58891,W,Kevin,Kevin Labanc,Labanc,15.375,4,4200,MON@SJ,SJ,MON,,
21492-23054,W,Leo,Leo Komarov,Komarov,10.28000031,5,4200,TOR@WAS,TOR,WAS,,
21492-70169,D,Troy,Troy Stecher,Stecher,3.200000048,4,4200,VAN@OTT,VAN,OTT,,
21492-8791,W,Matt,Matt Moulson,Moulson,3.200000127,3,4200,BUF@VGK,BUF,VGK,,
21492-42773,W,Oliver,Oliver Bjorkstrand,Bjorkstrand,7.040000153,5,4200,CLS@WPG,CLS,WPG,,
21492-8228,D,Dion,Dion Phaneuf,Phaneuf,14.23999939,5,4100,VAN@OTT,OTT,VAN,,
21492-14456,D,Mattias,Mattias Ekholm,Ekholm,9.7,5,4100,COL@NSH,NSH,COL,,
21492-8328,D,Matt,Matt Niskanen,Niskanen,4.479999924,5,4100,TOR@WAS,WAS,TOR,IR,Upper body
21492-8436,C,Tomas,Tomas Plekanec,Plekanec,8.8,5,4100,MON@SJ,MON,SJ,,
21492-8486,D,Paul,Paul Martin,Martin,2.400000095,2,4100,MON@SJ,SJ,MON,IR,Ankle
21492-8628,D,Marc-Edouard,Marc-Edouard Vlasic,Vlasic,6.125,4,4100,MON@SJ,SJ,MON,,
21492-23228,D,Justin,Justin Schultz,Schultz,8.75,6,4100,PIT@NYR,PIT,NYR,,
21492-11201,D,Jeff,Jeff Petry,Petry,7.2,5,4100,MON@SJ,MON,SJ,,
21492-43093,D,Shea,Shea Theodore,Theodore,6.676470588,34,4000,BUF@VGK,VGK,BUF,,
21492-8327,D,Trevor,Trevor Daley,Daley,6.719999695,5,4000,TB@DET,DET,TB,,
21492-8336,C,Valtteri,Valtteri Filppula,Filppula,12.2,5,4000,FLA@PHI,PHI,FLA,,
21492-8338,W,Johan,Johan Franzen,Franzen,0,0,4000,TB@DET,DET,TB,IR,Concussion
21492-14564,D,Adam,Adam Larsson,Larsson,9.399999619,4,4000,CAR@EDM,EDM,CAR,,
21492-39146,W,Tobias,Tobias Rieder,Rieder,8.640000153,5,4000,ARI@DAL,ARI,DAL,,
21492-39243,D,Nate,Nate Schmidt,Schmidt,13.39999962,4,4000,BUF@VGK,VGK,BUF,,
21492-8647,D,Erik,Erik Johnson,Johnson,7.200000127,6,4000,COL@NSH,COL,NSH,,
21492-58977,W,Sonny,Sonny Milano,Milano,12.8,5,4000,CLS@WPG,CLS,WPG,,
21492-23233,W,Alex,Alex Galchenyuk,Galchenyuk,5.7,5,4000,MON@SJ,MON,SJ,,
21492-80837,C,Vadim,Vadim Shipachyov,Shipachyov,0,0,4000,BUF@VGK,VGK,BUF,,
21492-42981,D,Josh,Josh Morrissey,Morrissey,11.68000031,5,4000,CLS@WPG,WPG,CLS,,
21492-8356,W,Sam,Sam Gagner,Gagner,5.199999809,4,3900,VAN@OTT,VAN,OTT,,
21492-8397,C,Brad,Brad Richardson,Richardson,4.479999924,5,3900,ARI@DAL,ARI,DAL,,
21492-64101,D,Noah,Noah Hanifin,Hanifin,13.76666641,3,3900,CAR@EDM,CAR,EDM,,
21492-23229,W,Nail,Nail Yakupov,Yakupov,12.66666667,6,3900,COL@NSH,COL,NSH,,
21492-8918,D,Anton,Anton Stralman,Stralman,8,5,3900,TB@DET,TB,DET,,
21492-8932,C,Zack,Zack Smith,Smith,10.11999969,5,3900,VAN@OTT,OTT,VAN,,
21492-42772,W,Josh,Josh Anderson,Anderson,6.133333206,3,3900,CLS@WPG,CLS,WPG,,
21492-9011,D,Andrej,Andrej Sekera,Sekera,9.873750305,80,3900,CAR@EDM,EDM,CAR,IR,Knee
21492-12291,D,Christopher,Christopher Tanev,Tanev,10.39999962,4,3800,VAN@OTT,VAN,OTT,,
21492-43022,W,Connor,Connor Brown,Brown,7.2,5,3800,TOR@WAS,TOR,WAS,,
21492-73826,W,Jimmy,Jimmy Vesey,Vesey,5.333333333,6,3800,PIT@NYR,NYR,PIT,,
21492-43120,W,Anthony,Anthony Duclair,Duclair,8.8,5,3800,ARI@DAL,ARI,DAL,,
21492-14451,C,Oscar,Oscar Lindberg,Lindberg,6.199999809,4,3800,BUF@VGK,VGK,BUF,,
21492-73909,D,Samuel,Samuel Girard,Girard,12.69999949,3,3800,COL@NSH,NSH,COL,,
21492-82120,W,Kailer,Kailer Yamamoto,Yamamoto,8,3,3800,CAR@EDM,EDM,CAR,,
21492-8410,D,Jack,Jack Johnson,Johnson,6.719999695,5,3800,CLS@WPG,CLS,WPG,,
21492-8562,W,Scott,Scott Hartnell,Hartnell,13.9,5,3800,COL@NSH,NSH,COL,,
21492-74127,D,Matt,Matt Benning,Benning,2.133333365,3,3800,CAR@EDM,EDM,CAR,,
21492-8611,D,Alex,Alex Goligoski,Goligoski,6.179999924,5,3800,ARI@DAL,ARI,DAL,,
21492-59118,W,Brendan,Brendan Perlini,Perlini,4.96666654,3,3800,ARI@DAL,ARI,DAL,IR,Upper body
21492-42833,W,Andre,Andre Burakovsky,Burakovsky,4.26666673,6,3800,TOR@WAS,WAS,TOR,,
21492-70483,W,Artturi,Artturi Lehkonen,Lehkonen,5.759999847,5,3800,MON@SJ,MON,SJ,,
21492-54126,D,Trevor,Trevor van Riemsdyk,van Riemsdyk,3.200000048,1,3800,CAR@EDM,CAR,EDM,IR,Concussion
21492-70513,W,Pavel,Pavel Buchnevich,Buchnevich,7.900000254,6,3800,PIT@NYR,NYR,PIT,,
21492-11122,C,Nick,Nick Bonino,Bonino,8.159999847,5,3800,COL@NSH,NSH,COL,,
21492-15239,W,Craig,Craig Smith,Smith,7.619999695,5,3800,COL@NSH,NSH,COL,,
21492-12299,D,David,David Savard,Savard,13.6,5,3700,CLS@WPG,CLS,WPG,,
21492-9270,D,Jason,Jason Demers,Demers,8.419999695,5,3700,ARI@DAL,ARI,DAL,,
21492-66709,C,Jared,Jared McCann,McCann,16.52499962,4,3700,FLA@PHI,FLA,PHI,,
21492-8341,W,Justin,Justin Abdelkader,Abdelkader,8.9,5,3700,TB@DET,DET,TB,,
21492-13472,D,Dmitry,Dmitry Orlov,Orlov,4.53333346,6,3700,TOR@WAS,WAS,TOR,,
21492-21690,D,Chris,Chris Wideman,Wideman,12.83999939,5,3700,VAN@OTT,OTT,VAN,,
21492-70907,D,Mikhail,Mikhail Sergachev,Sergachev,6.819999695,5,3700,TB@DET,TB,DET,,
21492-62783,W,Joonas,Joonas Donskoi,Donskoi,6.400000095,4,3700,MON@SJ,SJ,MON,,
21492-61860,D,Ben,Ben Hutton,Hutton,8.925000191,4,3700,VAN@OTT,VAN,OTT,,
21492-23061,C,Calle,Calle Jarnkrok,Jarnkrok,5.220000076,5,3700,COL@NSH,NSH,COL,,
21492-8811,W,Jannik,Jannik Hansen,Hansen,2.400000095,4,3700,MON@SJ,SJ,MON,,
21492-42791,W,Sven,Sven Andrighetto,Andrighetto,13.98333359,6,3700,COL@NSH,COL,NSH,,
21492-11148,W,Paul,Paul Byron,Byron,6.480000305,5,3700,MON@SJ,MON,SJ,,
21492-8168,D,Toby,Toby Enstrom,Enstrom,4.159999847,5,3700,CLS@WPG,WPG,CLS,,
21492-8169,D,Zach,Zach Bogosian,Bogosian,6.580357143,56,3700,BUF@VGK,BUF,VGK,IR,Lower body
21492-38933,D,Slater,Slater Koekkoek,Koekkoek,10.66666667,3,3600,TB@DET,TB,DET,,
21492-15386,C,Ryan,Ryan Strome,Strome,3.599999905,4,3600,CAR@EDM,EDM,CAR,,
21492-11303,D,Patrick,Patrick Wiercioch,Wiercioch,5.333333333,57,3600,VAN@OTT,VAN,OTT,,
21492-8310,D,Kris,Kris Russell,Russell,11.92500019,4,3600,CAR@EDM,EDM,CAR,,
21492-8311,D,Marc,Marc Methot,Methot,3.840000153,5,3600,ARI@DAL,DAL,ARI,,
21492-43132,W,Martin,Martin Frk,Frk,12.83999939,5,3600,TB@DET,DET,TB,,
21492-8340,C,Darren,Darren Helm,Helm,5.759999847,5,3600,TB@DET,DET,TB,,
21492-8350,D,Jonathan,Jonathan Ericsson,Ericsson,3.840000153,5,3600,TB@DET,DET,TB,,
21492-54482,D,Stephen,Stephen Johns,Johns,8.319999695,5,3600,ARI@DAL,DAL,ARI,,
21492-39145,D,Danny,Danny DeKeyser,DeKeyser,5.333333333,3,3600,TB@DET,DET,TB,DTD,Lower body
21492-54527,W,Connor,Connor Brickley,Brickley,13.39999962,4,3600,FLA@PHI,FLA,PHI,,
